"LOCATION","Pays","SUBJECT","Sujet","MEASURE","Mesure","FREQUENCY","Fréquence","TIME","Temps","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgique","LREM64TT","Taux d'emploi, Agée de 15 à 64 ans, Ensemble des personnes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2018-Q3","T3-2018",,,"0","Unités",,,64.8295,,
"BEL","Belgique","LREM64TT","Taux d'emploi, Agée de 15 à 64 ans, Ensemble des personnes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2018-Q4","T4-2018",,,"0","Unités",,,65.08688,,
"BEL","Belgique","LREM64TT","Taux d'emploi, Agée de 15 à 64 ans, Ensemble des personnes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2019-Q1","T1-2019",,,"0","Unités",,,64.71788,,
"BEL","Belgique","LREM64TT","Taux d'emploi, Agée de 15 à 64 ans, Ensemble des personnes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2019-Q2","T2-2019",,,"0","Unités",,,65.71932,,
"BEL","Belgique","LREM64TT","Taux d'emploi, Agée de 15 à 64 ans, Ensemble des personnes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2019-Q3","T3-2019",,,"0","Unités",,,65.55322,,
"BEL","Belgique","LREM64TT","Taux d'emploi, Agée de 15 à 64 ans, Ensemble des personnes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2019-Q4","T4-2019",,,"0","Unités",,,65.17051,,
"BEL","Belgique","LREM64TT","Taux d'emploi, Agée de 15 à 64 ans, Ensemble des personnes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2020-Q1","T1-2020",,,"0","Unités",,,65.24598,,
"BEL","Belgique","LREM64TT","Taux d'emploi, Agée de 15 à 64 ans, Ensemble des personnes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2020-Q2","T2-2020",,,"0","Unités",,,64.43512,,
"BEL","Belgique","LREM64TT","Taux d'emploi, Agée de 15 à 64 ans, Ensemble des personnes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2020-Q3","T3-2020",,,"0","Unités",,,64.80301,,
"BEL","Belgique","LREM64TT","Taux d'emploi, Agée de 15 à 64 ans, Ensemble des personnes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2020-Q4","T4-2020",,,"0","Unités",,,64.36613,,
"CAN","Canada","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2018-Q1","T1-2018",,,"0","Unités",,,70.23333,,
"CAN","Canada","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2018-Q2","T2-2018",,,"0","Unités",,,70.23333,,
"CAN","Canada","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2018-Q3","T3-2018",,,"0","Unités",,,70.63333,,
"CAN","Canada","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2018-Q4","T4-2018",,,"0","Unités",,,70.76667,,
"CAN","Canada","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2019-Q1","T1-2019",,,"0","Unités",,,70.86667,,
